polarity,review
9,This place really really sucks ! <s>
9,I am so sorry i have signed up for them . <s>
9,They dispatched the police department 45 minutes
9,after an alarm went off
9,even though the alarm code was used
9,to deactivate the alarm
9,just because they were not able to reach anyone . 45 minutes later ? <s>
9,Really ?????? <s>
9,"And in the city of phoenix , that costs $ 99 . <s>"
9,They refuse to take any responsibility whatsoever . <s>
9,They were suppose to send me a faub key
9,which malfunctioned sending a panic alarm to my phone but not to their location . <s>
9,It arrived
9,"late , it was sent back"
9,and now they are claiming
9,they never received it . <s>
9,I have filed several complaints with the bbb
9,but seems they pay them good money
9,so the bbb ends out
9,closing the cases
9,and takes the side of the company
9,in doing so . <s>
9,This company sucks ! <s>
9,Stay away from them !!! <s>
9,I would give zero stars
0,but i am not sure
0,it would post . <s>
9,"If you like freezing cold food with warm ice tea ,"
0,you have
0,found it ! <s>
9,"Horrible service , we were greeted with a bowl of broken store"
9,"bought chips and weak salsa ,"
0,that was the high point ! <s>
9,"The waiter forgot to enter our order ,"
0,when the food finally came
9,it was ice cold . <s>
9,"The manager picked up the tab , i prefer to have a good meal and pay . <s>"
9,This was torture . <s>
9,The staff is clueless . <s>
0,Sam fox has jumped the shark . <s>
9,Filthy restaurant . <s>
9,Tables greasy ; napkin holder was coated w food and grease . <s>
9,Afraid
0,that
0,if the surroundings are
9,"so unclean ,"
9,"what is the silverware ,"
9,"produce ,"
9,soda machine & ice dispenser like ? <s>
9,Will i be sick in a few days to a week from an innocent lunch here ? <s>
9,"Pizza is fabulous , but worth the risk ? <s>"
9,I do n't think so . <s>
0,Will go back in in 1week
0,to see
0,if the owner i spoke to has his staff better trained . <s>
0,"Time to lean , time"
0,to clean ...
9,there was plenty of time . <s>
9,"I really hate to do this ,"
0,"because i have been a fan of the merc bar for years ,"
0,but its a must . <s>
0,My fiance & i were looking for a place
0,to entertain our wedding party the weekend before our wedding
0,and it was clear to us
1,that the merc bar would be the perfect place . <s>
1,We love the atmpsphere . <s>
1,It usually has a nice & mature crowd . <s>
1,The service is usually good . <s>
1,It was perfect . <s>
9,"Unfortunately , it was the management and not the lounge"
9,that ruined our perspective of the venue . <s>
9,The manager ( tommy ) was slow/nearly impossible to reach and even harder to get info out of ...
0,i.e. whats your process for group reservations . <s>
9,He seemed annoyed
9,that i conntact him and unwilling to make time for us . <s>
9,"After several incomplete emails he finally called me , at my request ,"
0,"but it became clear , after 5 mins on the phone ,"
9,that he did not want our business . <s>
0,It was also apparent
9,that he lacked basic customer service skills . <s>
0,"Since , the goal of the evening is relax & enjoy our time with our friends ,"
9,"not to worry about bad service ,"
0,we took our covo with tommy as a hint
9,that the merc bar would not be a good fit . <s>
9,We need a place with a more mature management staff ...
0,"so , we 're going with the montelucia . <s>"
1,"Its a nice upscale resort , with an awesome spa , a very nice lounge & live music on saturday night , a great pool & nice rooms . <s>"
1,Truly perfect . <s>
1,"Well , we were craving chinese food , and i"
0,"asked "" tried and true or something new ? <s>"
0," We decided on something new ,
0	first thought was ,
9	 geez , this place is expensive for the size and condition of the restaurant . <s>"
0," Second thought was  well the foods not great , not good , but not bad . <s>"
0," This would have been a two star rating . <s>
9	However , two different chicken dishes had rotten chicken in them . <s>
9	If you 've ever smelled or accidentally tasted rotten chicken ,
9	you know
9	it 's not something
9	you ever forget ,
9	or want to repeat . <s>
9	Zero stars
9	if it were possible . <s>
0	Do yourself a favor . <s>
0	Go to mike kwan 's golden coin . <s>
9	It 's a shit hole ,
9	and you get no variety ,
1	but the food is fresh and hot . <s>

0 0301962
9	Disappointing . <s>
9	Had a so9called philly cheese steak . <s>
0	I think
0	it 's the first one
0	that 's ever been made . <s>
0	Had to explain how to make it . <s>
9	Tasted strange . <s>
0	I believe
0	i asked for onions and green peppers
9	and i 'll be darn
9	if i could find them . <s>
9	The mustard had a strange taste to it also . <s>
9	The place was also unbearably hot inside . <s>
0	I guess
9	they 're saving on air9conditioning . <s>
9	Do n't plan on going back . <s>

0 0302223
0	I visited
0	last night w / my family
9	and will not ever return nor make a positive recomendation . <s>
9	The hostess was exceptionally rude
0	commenting on our attire ,
0	 have you seen the ones"
0,that just walked in ? <s>
